PLAZO,CAPITAL,DÍAS MORA,INGRESOS MENSUALES,GASTOS MENSUALES,latitud,longitud,meses_transcurridos,Cuotas en mora,mes_de_pago,TIPO EMPLEO_independiente,TIPO DE VIVIENDA_propia,ESTADO CIVIL_soltero/a,ESTADO CIVIL_union libre,NIVEL EDUCATIVO_postgrado,NIVEL EDUCATIVO_profesional,NIVEL EDUCATIVO_secundaria,NIVEL EDUCATIVO_tecnico
30.0,0.3,2436.0,2.4,1.2,4.60971,-74.08175,31.192509855453352,1,9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
28.0,0.1,2434.0,1.6154339405598304,0.6,6.25184,-75.56359,60.0,0,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.23,2434.0,2.4744258946947646,0.6,5.8245,-73.03408,144.0,0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.35,2414.0,2.025618427595372,0.6,4.33646,-74.36378,9.0,1,9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.15,2400.0,2.029310305493672,0.6,4.08466,-76.19536,180.0,1,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.17,2394.0,1.7690329309502657,0.6,4.60971,-74.08175,6.0,0,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2392.0,1.75,1.0,4.60971,-74.08175,49.34296977660972,1,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2387.0,1.9021820482818037,0.6,4.60971,-74.08175,31.192509855453352,0,8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.35,2365.0,1.816106067828937,0.6,3.23114,-76.41668,31.192509855453352,1,11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.25,2365.0,1.65,0.55,4.60971,-74.08175,5.091984231274639,1,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30.0,0.3,2360.0,0.737,0.4,4.60971,-74.08175,5.0,1,11,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30.0,0.3,2358.0,1.0,0.6,4.60971,-74.08175,12.45072273324573,1,11,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
30.0,0.2,2358.0,1.6266915096660046,0.6,6.25184,-75.56359,12.0,1,11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.5,2358.0,2.5183206617415337,0.6,4.60971,-74.08175,72.0,1,11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26.0,0.3,2356.0,1.2,0.6,4.81333,-75.69611,31.192509855453352,1,11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.25,2354.0,1.982899534883984,0.6,4.60971,-74.08175,31.192509855453352,1,11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
30.0,0.3,2353.0,2.443892973984948,0.6,4.60971,-74.08175,144.0,1,11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2344.0,1.6,0.8,4.60971,-74.08175,24.0,1,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30.0,0.3,2339.0,3.0,1.8,10.15031,-73.9614,61.59658344283837,1,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
30.0,0.4,2338.0,2.611850796567296,0.6,7.12539,-73.1198,108.0,1,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2337.0,1.620196695283827,0.6,1.21361,-77.28111,31.192509855453352,1,12,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
30.0,0.3,2325.0,1.9985750453896087,0.6,4.60971,-74.08175,12.0,1,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2325.0,1.5,0.4,6.15515,-75.37371,31.192509855453352,1,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
23.0,0.3,2319.0,1.795525988103693,0.6,10.96854,-74.78132,4.0,1,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.45,2316.0,2.2374521890026404,0.6,4.60971,-74.08175,12.0,1,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.4,2315.0,2.0063597132032545,0.6,6.18461,-75.59913,31.192509855453352,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.25,2312.0,1.8958622273849048,0.6,4.60971,-74.08175,5.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.4,2310.0,2.143682225184568,0.6,4.60971,-74.08175,7.720105124835743,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.25,2301.0,1.9199319257099847,0.6,4.60971,-74.08175,12.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2299.0,1.0,0.45,4.60971,-74.08175,31.192509855453352,0,9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20.0,0.3,2298.0,2.069093642873744,0.6,4.60971,-74.08175,60.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2296.0,1.8171716583127664,0.6,5.06889,-75.51738,18.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2296.0,1.9532479733027688,0.6,10.96854,-74.78132,31.192509855453352,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2295.0,1.8216689418043688,0.6,6.15515,-75.37371,14.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2295.0,1.8083053472937127,0.6,6.25184,-75.56359,18.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2295.0,2.283699400271276,0.6,4.60971,-74.08175,96.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.5,2292.0,2.1795125635752584,0.6,10.96854,-74.78132,4.0,0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2290.0,1.4,0.3,4.60971,-74.08175,31.192509855453352,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30.0,0.3,2290.0,1.9981514444007864,0.6,4.60971,-74.08175,11.498028909329827,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2290.0,1.9998487794648645,0.6,4.60971,-74.08175,12.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2288.0,1.8722745012656377,0.6,6.96321,-75.41738,31.192509855453352,1,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.3,2288.0,1.9027729679014769,0.6,5.615,-75.62422,48.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
28.0,0.2,2285.0,1.622130807861355,0.6,10.96854,-74.78132,4.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
