PLAZO,CAPITAL,DÍAS MORA,INGRESOS MENSUALES,GASTOS MENSUALES,latitud,longitud,meses_transcurridos,mes_de_pago,TIPO EMPLEO_independiente,TIPO DE VIVIENDA_propia,ESTADO CIVIL_soltero/a,ESTADO CIVIL_union libre,NIVEL EDUCATIVO_postgrado,NIVEL EDUCATIVO_profesional,NIVEL EDUCATIVO_secundaria,NIVEL EDUCATIVO_tecnico,Cuotas en mora
30.0,0.15,1778.0,0.7822,0.5,4.60971,-74.08175,34.55978975032851,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
30.0,0.32,1909.0,1.6,0.75,4.60971,-74.08175,13.009198423127463,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
30.0,0.15,1692.0,1.8,0.9,6.25184,-75.56359,15.243101182654405,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.24,1871.0,2.5,1.6,10.39972,-75.51444,31.192509855453352,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.25,1772.0,2.441,0.6,6.25184,-75.56359,98.45597897503283,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.35,1778.0,2.5,1.0,4.60971,-74.08175,31.192509855453352,6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
30.0,0.2,2010.0,2.5,1.6,6.33732,-75.55795,216.0,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
30.0,0.22,1389.0,1.1,0.5,4.52949,-75.64091,159.88830486202366,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
30.0,0.3,879.0,2.074867840800122,0.6,4.60971,-74.08175,19.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.15,1461.0,1.5,0.5,5.04333,-76.01667,68.52825229960578,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.2,957.0,1.5,0.6,8.74798,-75.88143,24.11300919842313,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
30.0,0.25,1343.0,2.4,1.0,4.60971,-74.08175,179.9605781865966,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.15,699.0,1.15,0.85,5.00619,-73.47274,6.044678055190539,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
30.0,0.25,871.0,1.375,0.07,4.81333,-75.69611,63.17345597897504,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
30.0,0.35,787.0,1.2,0.0003,10.46314,-73.25322,31.192509855453352,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
30.0,0.3,1274.0,1.1,0.2,10.96854,-74.78132,36.0,6,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.19,2204.0,1.7858999982866468,0.6,4.81367,-74.35453,11.0,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.175,1904.0,1.25,0.55,6.25184,-75.56359,31.192509855453352,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
30.0,0.15,990.0,1.2,0.2,4.60971,-74.08175,42.24704336399474,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
29.0,0.15,1621.0,1.8,0.9,6.25184,-75.56359,39.98028909329829,11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.15,1986.0,1.7520744160950257,0.6,4.60971,-74.08175,6.0,11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.2,2009.0,6.0,0.5,4.43889,-75.23222,31.192509855453352,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.2,1951.0,1.5,0.7,6.25184,-75.56359,31.192509855453352,12,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.25,2204.0,1.575231775744804,0.6,3.8801,-77.03116,31.192509855453352,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.15,2196.0,1.4,0.6,4.60971,-74.08175,1.5111695137976346,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
30.0,0.15,1196.0,0.96,0.4,4.9825,-75.60361,190.2759526938239,9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.2,2008.0,1.4,0.7,6.33732,-75.55795,60.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.4,629.0,2.284226040586632,0.6,4.60971,-74.08175,31.192509855453352,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.35,2274.0,2.040857384711288,0.6,4.33646,-74.36378,12.0,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.2,1714.0,2.0,0.4,7.06528,-73.85472,5.7490144546649145,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
30.0,0.3,1997.0,2.075408159782807,0.6,4.60971,-74.08175,31.192509855453352,12,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.2,1632.0,1.3,0.1,4.60971,-74.08175,10.28252299605782,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.2,2162.0,2.0,1.35,6.25184,-75.56359,6.0,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
29.0,0.2,1192.0,3.058,0.6,4.81333,-75.69611,342.904073587385,11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
30.0,0.15,1291.0,1.646042846348852,0.6,6.18461,-75.59913,31.192509855453352,5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.16,551.0,1.35,0.4,3.43722,-76.5225,34.09986859395532,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30.0,0.5,1363.0,2.7,1.2,7.53941,-72.77238,64.48751642575559,7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.23,2434.0,2.4744258946947646,0.6,5.8245,-73.03408,144.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
25.0,0.25,1566.0,1.15,0.6,4.60971,-74.08175,55.68331143232589,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.25,1703.0,1.8,0.4,6.25184,-75.56359,26.6754270696452,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
28.0,0.45,660.0,1.432,0.8,6.33732,-75.55795,68.42969776609723,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
30.0,0.2,483.0,2.5,0.5,6.25184,-75.56359,31.192509855453352,10,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
30.0,0.5,1059.0,1.5,0.7,4.85876,-74.05866,80.81471747700394,12,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
30.0,0.25,576.0,1.4,0.4,6.25184,-75.56359,48.58738501971091,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
30.0,0.35,509.0,2.209076591513421,0.6,4.60971,-74.08175,31.192509855453352,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.45,520.0,3.5,0.5,8.74798,-75.88143,31.192509855453352,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
30.0,0.25,2191.0,1.531817146253056,0.6,1.21361,-77.28111,27.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.2,1482.0,2.9,0.4,4.60971,-74.08175,13.699080157687254,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.5,567.0,2.63304,1.2,4.60971,-74.08175,55.026281208935615,10,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
30.0,0.4,1129.0,1.6,0.55,4.60971,-74.08175,53.088042049934295,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.3,2256.0,1.838630835761432,0.6,4.81333,-75.69611,31.192509855453352,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
28.0,0.25,1557.0,2.4,4.5,4.60971,-74.08175,44.415243101182654,8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
30.0,0.2,1204.0,2.0,1.4,8.74798,-75.88143,3.1865965834428382,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.2,1257.0,1.666759544433294,0.6,6.25184,-75.56359,12.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.13,497.0,2.8,1.2,4.60971,-74.08175,31.192509855453352,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
30.0,0.25,1445.0,3.0,1.0,6.17591,-75.59174,31.192509855453352,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.2,1428.0,1.5,1.0,6.25184,-75.56359,12.45072273324573,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
28.0,0.42,1851.0,1.6,0.4,6.25184,-75.56359,31.192509855453352,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
30.0,0.1,1269.0,1.162,0.35,4.142,-73.62664,136.20236530880422,8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
30.0,0.45,1811.0,2.122716,0.843,6.25184,-75.56359,181.5703022339028,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.1,1303.0,0.88,0.5,4.81367,-74.35453,12.81208935611038,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.35,2249.0,2.405466071361003,0.6,4.60971,-74.08175,108.0,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.29,1168.0,1.6,0.5,2.50861,-78.4511,59.09986859395532,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.1,2019.0,1.8133732209014275,0.6,4.60971,-74.08175,48.0,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.17,1479.0,1.0,0.4,6.25184,-75.56359,31.192509855453352,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
30.0,0.22,1645.0,1.1975,0.5,6.15639,-75.78722,88.7976346911958,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.3,1612.0,3.092,0.8,4.60971,-74.08175,0.328515111695138,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
30.0,0.35,1307.0,1.5,0.25,6.18461,-75.59913,6.208935611038108,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
30.0,0.2,1986.0,1.576,0.2,6.25184,-75.56359,5.354796320630749,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
30.0,0.21,648.0,1.6452975099996827,0.6,1.85371,-76.05071,12.0,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.21,1414.0,1.2,0.7,3.43722,-76.5225,10.611038107752956,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
30.0,0.3,894.0,1.6,0.7,11.38321,-72.24321,42.90407358738502,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
30.0,0.1,1480.0,1.85,0.4,6.15639,-75.78722,31.192509855453352,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
30.0,0.3,1261.0,1.25,0.55,4.60971,-74.08175,18.593955321944808,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
30.0,0.4,2003.0,1.0,0.28,4.60971,-74.08175,31.192509855453352,11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
29.0,0.2,1356.0,1.2,0.2,4.60971,-74.08175,27.431011826544022,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
