PLAZO,CAPITAL,INT CORRIENTE,DÍAS MORA,INGRESOS MENSUALES,GASTOS MENSUALES,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE,latitud,longitud,meses_transcurridos,Cuotas en mora,ESTRATO,mes_de_pago,TIPO EMPLEO_empleado,TIPO EMPLEO_independiente,TIPO EMPLEO_pensionado,TIPO EMPLEO_prestador de servicios,TIPO DE VIVIENDA_familiar,TIPO DE VIVIENDA_propia,AÑOS EN LA VIVIENDA_mas de 5 anos,AÑOS EN LA VIVIENDA_menos de un ano,TIPO DE CONTRATO_prestacion de servicios,TIPO DE CONTRATO_termino fijo,PERIODO DE PAGO_quincenal,ESTADO CIVIL_comprometido/a,ESTADO CIVIL_divorciado/a,ESTADO CIVIL_soltero/a,ESTADO CIVIL_union libre,ESTADO CIVIL_viudo/a,NIVEL EDUCATIVO_postgrado,NIVEL EDUCATIVO_primaria,NIVEL EDUCATIVO_profesional,NIVEL EDUCATIVO_secundaria,NIVEL EDUCATIVO_tecnico,NIVEL EDUCATIVO_tecnologo,TIPO DE VEHICULO_moto,TIPO DE VEHICULO_ninguno
15.0,0.16,1501.6,2659.0,1.3780706571172434,0.6,1.0,0.0,3.43722,-76.5225,9.0,1,2.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
14.0,0.15,1313.9,2653.0,1.523361414700684,0.6,1.0,0.0,5.96278,-75.73806,15.0,1,3.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30.0,0.15,2815.5,2653.0,1.752183723641675,0.6,1.0,0.0,4.60971,-74.08175,9.0,1,3.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30.0,0.2,3754.0,2648.0,1.860599081089985,0.6,1.0,0.0,4.60971,-74.08175,17.0,1,2.0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30.0,0.1,1877.0,2645.0,1.695945727397385,0.6,1.0,0.0,5.54782,-75.64368,84.0,1,3.0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30.0,0.18,3378.6,2644.0,1.6765692354971051,0.6,1.0,0.0,6.25184,-75.56359,36.0,1,2.0,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30.0,0.4,7508.0,2643.0,1.8317353682923336,0.6,1.0,0.0,3.43722,-76.5225,24.0,1,3.0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
29.0,0.17,3084.536667,2639.0,1.6421564963231123,0.6,1.0,0.0,6.25184,-75.56359,31.07752956636005,1,4.0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
23.0,0.15,2158.55,2639.0,1.7437823762381193,0.6,1.0,0.0,4.60971,-74.08175,7.0,1,3.0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30.0,0.38,7132.6,2637.0,2.1211948163205037,0.6,1.0,0.0,4.60971,-74.08175,8.0,1,2.0,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30.0,0.2,3754.0,2631.0,1.673113931635072,0.6,1.0,0.0,3.43722,-76.5225,72.0,1,3.0,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30.0,0.3,5631.0,2625.0,1.7258992573722,0.6,1.0,0.0,1.87884,-76.26722,31.07752956636005,1,3.0,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30.0,0.25,4692.5,2623.0,1.6761687333825996,0.6,1.0,0.0,6.17591,-75.59174,4.0,1,3.0,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30.0,0.2,3754.0,2619.0,1.8237296614570884,0.6,1.0,0.0,4.57937,-74.21682,12.0,1,2.0,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30.0,0.15,2815.5,2617.0,2.0444769787066175,0.6,1.0,0.0,4.60971,-74.08175,94.0,1,2.0,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
27.0,0.15,2533.95,2617.0,1.7627441359740192,0.6,1.0,0.0,4.60971,-74.08175,12.0,0,3.0,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30.0,0.1,1877.0,2612.0,1.2859331487986978,0.6,1.0,0.0,3.43722,-76.5225,6.0,1,4.0,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30.0,0.2,3754.0,2609.0,1.7390822504145262,0.6,1.0,0.0,10.96854,-74.78132,3.0,1,4.0,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
