PLAZO,CAPITAL,INT CORRIENTE,PRÓXIMA FECHA PAGO,DÍAS MORA,Cuotas en mora,TIPO EMPLEO,TIPO DE VIVIENDA,ESTRATO,AÑOS EN LA VIVIENDA,INGRESOS MENSUALES,GASTOS MENSUALES,INGRESOS ADICIONALES,TIPO DE CONTRATO,PERIODO DE PAGO,ESTADO CIVIL,NIVEL EDUCATIVO,PERSONAS A CARGO,NUMERO DE HIJOS,TIPO DE VEHICULO,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE,latitud,longitud,meses_transcurridos
29,170000,3084.536667,2016-02-12,2639,1,pensionado,nan,4.0,menos de un ano,,,,nan,nan,nan,nan,0.0,2.0,ninguno,1,0,6.25184,-75.56359,
23,150000,2158.55,2016-02-12,2639,1,empleado,nan,3.0,menos de un ano,,,,indefinido,mensual,nan,nan,0.0,0.0,ninguno,1,0,4.60971,-74.08175,7.0
30,380000,7132.6,2016-02-14,2637,1,empleado,nan,2.0,mas de 5 anos,,,,indefinido,quincenal,nan,nan,0.0,0.0,ninguno,1,0,4.60971,-74.08175,8.0
30,200000,3754.0,2016-02-20,2631,1,empleado,nan,3.0,mas de 5 anos,,,,indefinido,quincenal,nan,nan,2.0,1.0,ninguno,1,0,3.43722,-76.5225,72.0
30,300000,5631.0,2016-02-26,2625,1,independiente,nan,3.0,menos de un ano,,,,nan,nan,nan,nan,1.0,1.0,carro,1,0,1.87884,-76.26722,
30,250000,4692.5,2016-02-28,2623,1,empleado,nan,3.0,mas de 5 anos,,,,nan,quincenal,nan,nan,2.0,0.0,ninguno,1,0,6.17591,-75.59174,4.0
30,200000,3754.0,2016-03-03,2619,1,empleado,nan,2.0,mas de 5 anos,,,,indefinido,quincenal,nan,nan,1.0,1.0,ninguno,1,0,4.57937,-74.21682,12.0
30,150000,2815.5,2016-03-05,2617,1,empleado,nan,2.0,mas de 5 anos,,,,indefinido,mensual,nan,nan,1.0,1.0,ninguno,1,0,4.60971,-74.08175,94.0
27,150000,2533.95,2015-08-19,2617,0,empleado,nan,3.0,entre uno y cinco anos,,,,indefinido,quincenal,nan,nan,0.0,0.0,ninguno,1,0,4.60971,-74.08175,12.0
30,100000,1877.0,2016-03-10,2612,1,empleado,nan,4.0,entre uno y cinco anos,,,,termino fijo,mensual,nan,nan,0.0,2.0,carro,1,0,3.43722,-76.5225,6.0
30,200000,3754.0,2016-03-13,2609,1,empleado,nan,4.0,menos de un ano,,,,indefinido,quincenal,nan,nan,2.0,2.0,ninguno,1,0,10.96854,-74.78132,3.0
30,100000,1877.0,2016-03-16,2606,1,empleado,nan,3.0,mas de 5 anos,,,,termino fijo,mensual,nan,nan,0.0,0.0,ninguno,1,0,3.53944,-76.30361,24.0
30,150000,2815.5,2016-03-16,2606,1,empleado,nan,3.0,menos de un ano,,,,termino fijo,quincenal,nan,nan,0.0,0.0,ninguno,1,0,6.25184,-75.56359,24.0
26,150000,2440.1,2016-03-16,2606,1,empleado,nan,2.0,mas de 5 anos,,,,indefinido,quincenal,nan,nan,1.0,1.0,ninguno,1,0,4.73245,-74.26419,12.0
30,200000,3754.0,2016-03-20,2602,1,empleado,nan,2.0,mas de 5 anos,,,,termino fijo,quincenal,nan,nan,1.0,1.0,carro,1,0,3.43722,-76.5225,
30,100000,1877.0,2016-03-23,2599,1,empleado,nan,3.0,entre uno y cinco anos,,,,indefinido,quincenal,nan,nan,1.0,1.0,ninguno,1,0,5.74601,-75.97765,
30,100000,1877.0,2015-07-30,2589,0,empleado,nan,3.0,entre uno y cinco anos,1500000.0,500000.0,1300000.0,termino fijo,mensual,nan,nan,3.0,0.0,ninguno,1,0,10.37808,-74.88356,
30,100000,1877.0,2015-08-14,2579,0,empleado,nan,4.0,mas de 5 anos,,,,indefinido,mensual,nan,nan,2.0,1.0,moto,1,0,10.46314,-73.25322,
30,330000,6194.1,2016-04-17,2574,1,empleado,nan,2.0,mas de 5 anos,,,,termino fijo,mensual,nan,nan,1.0,1.0,ninguno,1,0,10.75773,-74.75451,84.0
30,100000,1877.0,2015-08-16,2572,0,empleado,nan,4.0,mas de 5 anos,,,,indefinido,quincenal,nan,nan,2.0,2.0,ninguno,1,0,4.60971,-74.08175,120.0
30,180000,3378.6,2016-04-21,2570,1,empleado,nan,2.0,entre uno y cinco anos,,,,indefinido,mensual,nan,nan,0.0,2.0,carro,1,0,5.33775,-72.39586,
30,350000,6569.5,2016-04-24,2567,1,empleado,nan,3.0,entre uno y cinco anos,,,,indefinido,quincenal,nan,nan,1.0,2.0,ninguno,1,0,5.54782,-75.64368,36.0
30,350000,6569.5,2016-04-27,2564,1,empleado,nan,3.0,menos de un ano,,,,indefinido,quincenal,nan,nan,2.0,1.0,ninguno,1,0,10.96854,-74.78132,0.0
30,300000,5631.0,2016-04-29,2562,1,empleado,nan,3.0,mas de 5 anos,,,,termino fijo,quincenal,nan,nan,2.0,2.0,ninguno,1,0,6.25184,-75.56359,36.0
30,320000,6006.4,2016-05-01,2560,1,empleado,nan,2.0,entre uno y cinco anos,,,,indefinido,quincenal,nan,nan,1.0,2.0,moto,1,0,7.66638,-76.68106,36.0
22,150000,2064.7,2016-05-10,2551,1,empleado,nan,3.0,mas de 5 anos,,,,indefinido,mensual,nan,nan,1.0,1.0,ninguno,1,0,4.60971,-74.08175,5.0
30,200000,3754.0,2016-05-22,2539,1,empleado,nan,3.0,mas de 5 anos,,,,indefinido,mensual,nan,nan,0.0,1.0,ninguno,1,0,6.33732,-75.55795,96.0
30,170000,3190.9,2016-05-26,2535,1,empleado,nan,2.0,mas de 5 anos,1200000.0,700000.0,140000.0,indefinido,mensual,nan,nan,1.0,0.0,ninguno,1,0,10.91843,-74.76459,
30,120000,2252.4,2015-10-01,2531,0,empleado,nan,1.0,mas de 5 anos,,,,termino fijo,quincenal,nan,nan,0.0,0.0,ninguno,1,0,6.25184,-75.56359,10.0
30,400000,7508.0,2016-02-05,2516,0,independiente,nan,3.0,entre uno y cinco anos,,,,nan,nan,nan,nan,2.0,2.0,ninguno,1,0,10.96854,-74.78132,
30,250000,4692.5,2015-07-16,2489,0,empleado,nan,3.0,mas de 5 anos,,,,indefinido,quincenal,nan,nan,0.0,0.0,ninguno,1,0,10.03672,-73.23558,12.0
29,250000,4536.083333,2015-07-09,2476,0,empleado,nan,1.0,mas de 5 anos,,,,termino fijo,mensual,nan,nan,0.0,0.0,carro,1,0,4.60971,-74.08175,25.492772667542706
30,200000,3754.0,2016-07-28,2472,1,empleado,nan,1.0,entre uno y cinco anos,,,,termino fijo,quincenal,nan,nan,3.0,4.0,ninguno,1,0,4.60971,-74.08175,15.0
30,150000,2815.5,2015-10-23,2472,0,empleado,nan,3.0,mas de 5 anos,,,,indefinido,mensual,nan,nan,0.0,0.0,ninguno,1,0,3.43722,-76.5225,23.0
30,300000,5631.0,2016-07-30,2470,1,empleado,nan,3.0,entre uno y cinco anos,,,,indefinido,quincenal,nan,nan,0.0,0.0,ninguno,1,0,10.96854,-74.78132,24.0
24,250000,3754.0,2016-08-04,2465,1,empleado,familiar,3.0,mas de 5 anos,2220000.0,600000.0,,indefinido,quincenal,soltero/a,profesional,,,moto,1,0,4.60971,-74.08175,
