PLAZO,CAPITAL,INT CORRIENTE,FECHA DESEMBOLSO,PRÓXIMA FECHA PAGO,DÍAS MORA,Cuotas en mora,TIPO EMPLEO,CIUDAD RESIDENCIA,TRABAJO,TIPO DE VIVIENDA,ESTRATO,AÑOS EN LA VIVIENDA,INGRESOS MENSUALES,GASTOS MENSUALES,INGRESOS ADICIONALES,TIPO DE CONTRATO,PERIODO DE PAGO,ESTADO CIVIL,NIVEL EDUCATIVO,PERSONAS A CARGO,NUMERO DE HIJOS,TIPO DE VEHICULO,TIEMPO TRABAJO,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE
30,100000,1877.0,2/9/2016,3/10/2016,2612,1,Empleado,cali,secretaria academica,,4.0,entre uno y cinco años,,,,Termino fijo,Mensual,,,0.0,2.0,Carro,6 meses,1,0
30,200000,3754.0,2/12/2016,3/13/2016,2609,1,Empleado,Barranquilla,Pricing,,4.0,menos de un año,,,,Indefinido,Quincenal,,,2.0,2.0,Ninguno,3 meses,1,0
30,100000,1877.0,2/15/2016,3/16/2016,2606,1,Empleado,palmira,reconocedor predial,,3.0,mas de 5 años,,,,Termino fijo,Mensual,,,0.0,0.0,Ninguno,2 años,1,0
30,150000,2815.5,2/15/2016,3/16/2016,2606,1,Empleado,Medellin,representante de servicio,,3.0,menos de un año,,,,Termino fijo,Quincenal,,,0.0,0.0,Ninguno,2 años,1,0
26,150000,2440.1,2/19/2016,3/16/2016,2606,1,Empleado,madrid,resepcionista,,2.0,mas de 5 años,,,,Indefinido,Quincenal,,,1.0,1.0,Ninguno,1 año,1,0
30,200000,3754.0,2/19/2016,3/20/2016,2602,1,Empleado,cali,operador logistico,,2.0,mas de 5 años,,,,Termino fijo,Quincenal,,,1.0,1.0,Carro,2019-05-27,1,0
30,100000,1877.0,2/22/2016,3/23/2016,2599,1,Empleado,Betania,Auxiliar de despachos,,3.0,entre uno y cinco años,,,,Indefinido,Quincenal,,,1.0,1.0,Ninguno,2019-07-23,1,0
30,100000,1877.0,6/30/2015,7/30/2015,2589,0,Empleado,campo de la cruz atlántico,asesor ventas,,3.0,entre uno y cinco años,1500000.0,500000.0,1300000.0,Termino fijo,Mensual,,,3.0,0.0,Ninguno,2016-01-03,1,0
30,100000,1877.0,7/15/2015,8/14/2015,2579,0,Empleado,VALLEDUPAR,GERENTE,,4.0,mas de 5 años,,,,Indefinido,Mensual,,,2.0,1.0,Moto,2020-02-01,1,0
30,330000,6194.1,3/18/2016,4/17/2016,2574,1,Empleado,Santo Tomas,Tecnico,,2.0,mas de 5 años,,,,Termino fijo,Mensual,,,1.0,1.0,Ninguno,7 Años,1,0
