objectId,muni,featureCode,countryCode,cityId,ACL,name,population,updatedAt,location,country,createdAt,adminCode
sfWwbM4mQz,,PPL,CO,3676591,,liborina,2373,Thu Dec 12 2019 14:16:18 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":6.6779,""longitude"":-75.81218}",Colombia,Thu Dec 12 2019 14:16:18 GMT-0500 (Colombia Standard Time),2
swcA0td86E,,PPL,CO,3778835,,la cumbre,2432,Thu Dec 12 2019 14:17:21 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":3.7225,""longitude"":-76.02083}",Colombia,Thu Dec 12 2019 14:17:21 GMT-0500 (Colombia Standard Time),29
sxhcUVaxc3,,PPL,CO,3687505,,caparrapi,4477,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.34644,""longitude"":-74.49147}",Colombia,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),33
szvSB3AETH,,PPL,CO,3687318,,carmen de viboral,21152,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":6.08236,""longitude"":-75.33509}",Colombia,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),2
t9HG3p9Vik,,PPL,CO,3667070,,timbiqui,6267,Thu Dec 12 2019 14:16:10 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":2.7717,""longitude"":-77.66536}",Colombia,Thu Dec 12 2019 14:16:10 GMT-0500 (Colombia Standard Time),9
tCCyj6WEYN,,PPL,CO,3681953,,granada,1100,Thu Dec 12 2019 14:17:14 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.06667,""longitude"":-74.56667}",Colombia,Thu Dec 12 2019 14:17:14 GMT-0500 (Colombia Standard Time),33
tHq8CafbAU,,PPL,CO,3686460,,chitaga,3871,Thu Dec 12 2019 14:17:17 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":7.13781,""longitude"":-72.66456}",Colombia,Thu Dec 12 2019 14:17:17 GMT-0500 (Colombia Standard Time),21
tYe21JHR3u,,PPL,CO,3666395,,urrao,18846,Thu Dec 12 2019 14:16:09 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":6.31696,""longitude"":-76.1342}",Colombia,Thu Dec 12 2019 14:16:09 GMT-0500 (Colombia Standard Time),2
tjGRYwuXjD,,PPL,CO,3671337,,puerto rondon,3724,Thu Dec 12 2019 14:16:15 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":6.28048,""longitude"":-71.1}",Colombia,Thu Dec 12 2019 14:16:15 GMT-0500 (Colombia Standard Time),3
tpUYFShtOn,,PPL,CO,3666640,,tumaco,86713,Thu Dec 12 2019 14:16:09 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":1.79861,""longitude"":-78.81556}",Colombia,Thu Dec 12 2019 14:16:09 GMT-0500 (Colombia Standard Time),20
tqAYPdbCGs,,PPL,CO,3673829,,nobsa,3360,Thu Dec 12 2019 14:16:16 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.76978,""longitude"":-72.94099}",Colombia,Thu Dec 12 2019 14:16:16 GMT-0500 (Colombia Standard Time),36
txqDpS6Eki,,PPL,CO,3670419,,sahagun,59188,Thu Dec 12 2019 14:16:13 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":8.94617,""longitude"":-75.44275}",Colombia,Thu Dec 12 2019 14:16:13 GMT-0500 (Colombia Standard Time),12
u2so8kooTn,,PPL,CO,3684917,,el banco,54522,Thu Dec 12 2019 14:17:16 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":9.00114,""longitude"":-73.97581}",Colombia,Thu Dec 12 2019 14:17:16 GMT-0500 (Colombia Standard Time),38
